generated by /home/ivandevert/get_station_catalog.ipynb
index|station_name|slat|slon|sele|sdep|source
193|BK.BONV|38.98742|-123.34856|194.3|2.7|ncedc
194|BK.BOYR|38.98509|-121.79609|8.9|2.9|ncedc
195|BK.BRAD|35.92625|-120.76114|467.4|2.6|ncedc
196|BK.BRIB|37.918861|-122.151703|113.4|108.8|ncedc
197|BK.BRIC|40.11223|-123.8965|177.2|3.3|ncedc
198|BK.BRIT|41.03541|-121.6497|840.9|2.6|ncedc
199|BK.BRK|37.87352|-122.260986|49.4|2.7|ncedc
200|BK.BUCI|38.13688|-122.57818|178.4|2.8|ncedc
201|BK.BUCR|37.6733|-120.1496|1034.0|0.4|ncedc
202|BK.CCOR|36.068841|-119.549318|59.1|2.8|ncedc
203|BK.CGRV|36.79147|-118.66033|1448.4|1.8|ncedc
204|BK.CLRV|41.79816|-121.11134|1375.9|1.3|ncedc
205|BK.CMAB|38.06892|-122.229141|-142.2|142.2|ncedc
206|BK.CMB|38.03455|-120.386513|697.0|2.0|ncedc
207|BK.CMSB|37.871948|-122.251678|-72.9|167.6|ncedc
208|BK.CRQB|38.055779|-122.224869|-63.4|38.4|ncedc
209|BK.CVS|38.345261|-122.458397|295.1|23.2|ncedc
210|BK.DANT|40.294601|-121.802101|967.0|0.0|ncedc
211|BK.DCMP|39.46897|-123.337498|448.2|1.8|ncedc
212|BK.DIAZ|41.00383|-120.74563|1982.5|1.5|ncedc
213|BK.DLIK|40.45543|-122.89424|1291.7|1.3|ncedc
214|BK.DMOR|40.70973|-123.70331|1303.0|2.0|ncedc
215|BK.DRDG|38.16819|-119.96892|2135.6|1.1|ncedc
216|BK.DRYC|41.51694|-120.34886|1717.0|1.2|ncedc
217|BK.EAGL|40.62486|-120.72893|1563.3|1.4|ncedc
218|BK.ELFS|40.618351|-120.727913|1553.8|0.7|ncedc
219|BK.ETSL|39.72082|-123.05399|1460.5|1.3|ncedc
220|BK.FARB|37.697819|-123.001099|-18.5|0.0|ncedc
221|BK.FORD|36.6879|-121.78054|31.2|3.1|ncedc
222|BK.FRI|36.995753|-119.707342|122.7|0.0|ncedc
223|BK.GALB|38.86192|-123.25636|492.9|1.9|ncedc
224|BK.GASB|39.654709|-122.71595|1354.8|1.5|ncedc
225|BK.GCKB|39.54462|-122.43671|247.8|1.3|ncedc
226|BK.GHOP|40.30643|-123.97797|1027.2|1.6|ncedc
227|BK.GRPK|41.12162|-121.99428|1495.8|1.3|ncedc
228|BK.GTSB|39.31166|-122.60355|1100.6|1.8|ncedc
229|BK.GUMB|41.21297|-122.5094|1848.6|1.2|ncedc
230|BK.HALS|39.81357|-123.72703|580.5|1.5|ncedc
231|BK.HAPY|41.417678|-121.110674|1852.9|1.3|ncedc
232|BK.HAS2|36.38546|-121.56139|600.7|3.1|ncedc
233|BK.HAST|36.388699|-121.551399|539.5|2.5|ncedc
234|BK.HATC|40.816101|-121.461166|1008.6|0.7|ncedc
235|BK.HAYF|40.5227|-123.23198|773.6|3.0|ncedc
236|BK.HELL|36.680111|-119.02282|1137.5|2.5|ncedc
237|BK.HERB|38.01239|-122.262169|-235.0|217.0|ncedc
238|BK.HOPS|38.993488|-123.072342|299.1|3.0|ncedc
239|BK.HRCH|38.57564|-123.24421|372.7|2.9|ncedc
240|BK.HULI|36.02134|-121.23554|342.0|0.0|ncedc
241|BK.HULL|39.51432|-122.94063|1890.2|1.4|ncedc
242|BK.HUMO|42.607101|-122.956688|554.9|50.0|ncedc
243|BK.HUNT|40.18942|-123.14557|1538.7|1.3|ncedc
244|BK.INGL|39.52898|-123.69844|288.2|2.3|ncedc
245|BK.JASP|37.40337|-122.24048|122.0|3.0|ncedc
246|BK.JCC|40.817451|-124.029549|27.2|0.0|ncedc
247|BK.JEPS|38.25789|-121.82518|2.6|3.4|ncedc
248|BK.JEWT|40.063044|-123.628171|691.3|2.8|ncedc
249|BK.JRSC|37.403728|-122.238678|70.5|0.0|ncedc
250|BK.KARE|36.59736|-119.50381|100.8|3.3|ncedc
251|BK.KCC|37.323631|-119.318703|888.1|87.3|ncedc
252|BK.KETL|36.05749|-120.14935|373.5|2.8|ncedc
253|BK.KNEE|40.71519|-123.90112|889.8|2.4|ncedc
254|BK.KRUG|40.951824|-123.953674|395.7|3.0|ncedc
255|BK.LAKN|41.37171|-121.55667|1248.3|1.3|ncedc
256|BK.LAND|36.05864|-121.58752|164.9|2.8|ncedc
257|BK.LCOS|38.19243|-122.20137|203.3|2.8|ncedc
258|BK.LCOW|40.64261|-122.18524|235.1|1.1|scedc
259|BK.LCUV|35.65196|-120.73221|405.3|3.4|ncedc
260|BK.LEGD|37.21426|-120.14916|89.6|2.9|ncedc
261|BK.LGMB|41.59944|-121.83623|1622.0|1.1|ncedc
262|BK.LIND|36.35307|-119.05668|154.7|3.3|ncedc
263|BK.LITV|40.83679|-121.11247|1560.3|1.3|ncedc
264|BK.LLNL|37.68188|-121.71675|182.5|2.5|ncedc
265|BK.LSIB|40.39735|-121.42345|1889.6|1.2|ncedc
266|BK.LTIB|41.175892|-121.488893|1182.3|1.2|ncedc
267|BK.MBARI|36.80615|-121.78802|3.9|0.5|ncedc
268|BK.MCCM|38.144779|-122.88018|-7.7|4.0|ncedc
269|BK.MERC|37.3889|-120.45944|63.7|1.3|ncedc
270|BK.MHC|37.34164|-121.64257|1250.4|0.0|ncedc
271|BK.MHDL|37.842319|-122.494308|-57.4|151.9|ncedc
272|BK.MILL|41.70532|-124.04106|559.2|1.3|ncedc
273|BK.MIN|40.346008|-121.60656|1470.9|0.0|ncedc
274|BK.MKOF|39.37362|-120.93613|1223.3|2.7|ncedc
275|BK.MLKN|38.38294|-122.2381|355.2|1.2|ncedc
276|BK.MMI|37.41964|-119.74378|1306.5|1.2|ncedc
277|BK.MNDO|39.31418|-123.74511|176.5|3.0|ncedc
278|BK.MNLT|40.23124|-120.84245|1737.8|1.2|ncedc
279|BK.MNRC|38.878738|-122.442772|709.9|6.5|ncedc
280|BK.MOD|41.902458|-120.302948|1554.5|5.0|ncedc
281|BK.MOGU|41.83072|-122.4205|822.0|1.6|ncedc
282|BK.MTOS|37.504902|-121.327797|310.0|0.0|ncedc
283|BK.MZTA|41.27792|-120.80101|2138.4|1.4|ncedc
284|BK.OAKV|38.43057|-122.41085|56.3|3.3|ncedc
285|BK.OHLN|38.006248|-122.272987|-197.2|196.7|ncedc
286|BK.ORRS|39.272191|-123.434245|594.9|1.5|ncedc
287|BK.ORV|39.554508|-121.500359|334.7|3.0|ncedc
288|BK.OVRO|37.23066|-118.283|1213.5|2.5|ncedc
289|BK.OXMT|37.499359|-122.424309|14.8|194.3|ncedc
290|BK.PABC|35.15879|-120.64003|199.2|1.1|ncedc
291|BK.PACP|37.007999|-121.287003|844.0|6.5|ncedc
292|BK.PATT|36.96238|-119.05665|2458.2|1.3|ncedc
293|BK.PESC|37.24611|-122.383|95.7|3.0|ncedc
294|BK.PETB|38.1189|-122.501099|-143.0|113.0|ncedc
295|BK.PETL|40.28844|-124.34259|46.5|3.1|ncedc
296|BK.PETY|40.1766|-122.7884|962.0|0.0|ncedc
297|BK.PINL|38.01|-122.36602|10.7|3.2|ncedc
298|BK.PIT6|40.93062|-121.94795|821.0|1.2|ncedc
299|BK.PKD|35.945171|-120.541603|583.0|3.0|ncedc
300|BK.PKD1|35.8894|-120.426109|431.6|0.0|ncedc
301|BK.PORC|41.60196|-120.73072|1572.5|1.2|ncedc
302|BK.POTR|38.202629|-121.935349|20.0|6.5|ncedc
303|BK.PRDS|40.10561|-124.04458|785.2|1.2|ncedc
304|BK.PVSP|36.13|-120.25365|173.8|2.9|ncedc
305|BK.PWAY|40.244313|-121.781449|1001.1|2.9|ncedc
306|BK.PWOD|38.58075|-122.70187|435.2|2.9|ncedc
307|BK.QRDG|38.48086|-122.14485|360.8|3.3|ncedc
308|BK.RAMR|35.635971|-120.869843|414.3|2.5|ncedc
309|BK.RAVE|40.798|-120.30841|1633.3|1.3|ncedc
310|BK.RB2B|37.93335|-122.403137|-151.5|133.5|ncedc
311|BK.RBOW|40.33467|-124.11136|1098.2|1.8|ncedc
312|BK.RFSB|37.91608|-122.336098|-118.7|91.4|ncedc
313|BK.RIMR|41.821211|-120.592957|1578.1|1.3|ncedc
314|BK.ROMB|38.58891|-122.03158|146.4|2.7|ncedc
315|BK.RSRB|37.935749|-122.44648|-157.0|109.0|ncedc
316|BK.RUSS|38.54465|-121.86743|25.6|3.0|ncedc
317|BK.RVIT|39.90629|-123.37859|779.2|2.6|ncedc
318|BK.RVRP|37.867413|-121.747376|71.4|2.9|ncedc
319|BK.SAGE|40.79458|-122.03895|756.7|1.3|ncedc
320|BK.SANG|41.91013|-123.64922|1640.0|1.3|ncedc
321|BK.SAO|36.76403|-121.44722|317.2|3.0|ncedc
322|BK.SBAR|41.6627|-123.07106|1487.7|1.2|ncedc
323|BK.SBRN|37.685612|-122.41127|-157.5|161.5|ncedc
324|BK.SCCB|37.287441|-121.86422|98.4|0.0|ncedc
325|BK.SCOT|41.391998|-122.853798|960.0|0.0|ncedc
326|BK.SCZ|36.598|-121.403|261.0|0.0|ncedc
327|BK.SEIA|41.85032|-123.14708|863.4|2.9|ncedc
328|BK.SFRE|39.25655|-121.32278|282.0|1.3|ncedc
329|BK.SHEP|41.7826|-121.839302|1391.0|0.0|ncedc
330|BK.SHWD|39.511871|-123.494942|849.9|2.3|ncedc
331|BK.SIGP|41.87266|-124.06781|544.6|3.0|ncedc
332|BK.SKGS|38.688996|-123.078424|637.5|2.9|ncedc
333|BK.SM2B|37.838745|-122.110222|49.1|150.9|ncedc
334|BK.SMCB|37.83881|-122.111588|177.5|3.4|ncedc
335|BK.SNCR|38.950076|-122.247288|281.5|3.0|ncedc
336|BK.SPAN|38.97599|-123.65702|180.0|2.8|ncedc
337|BK.SPRL|40.02238|-123.8498|438.4|2.8|ncedc
338|BK.SUGR|41.03867|-123.74857|1167.2|1.3|ncedc
339|BK.SUTB|39.229099|-121.786102|249.5|2.5|ncedc
340|BK.SVIN|38.03318|-122.526321|-179.9|152.4|ncedc
341|BK.SWNM|40.417068|-121.112224|2062.6|1.2|ncedc
342|BK.TCAS|35.609501|-120.560097|381.0|0.0|ncedc
343|BK.TCHL|35.688122|-120.400917|431.0|0.0|ncedc
344|BK.TESL|37.614855|-121.590482|643.4|1.2|ncedc
345|BK.THIS|35.724049|-120.228447|643.0|0.0|ncedc
346|BK.THOM|41.090817|-123.077719|1077.0|2.7|ncedc
347|BK.TOLH|36.94966|-119.44162|381.3|2.0|ncedc
348|BK.TRAM|35.67691|-120.270927|642.0|0.0|ncedc
349|BK.TRAY|35.551682|-120.125832|690.0|0.0|ncedc
350|BK.TRIN|40.9741|-122.705|935.0|0.0|ncedc
351|BK.TSCN|35.54398|-120.348061|476.5|0.0|ncedc
352|BK.TSCS|35.440701|-120.353699|467.0|0.0|ncedc
353|BK.TULE|41.9647|-121.46731|1227.9|3.2|ncedc
354|BK.TUMY|36.52392|-120.66392|764.4|2.8|ncedc
355|BK.TWIT|38.09712|-121.68321|-5.8|2.8|ncedc
356|BK.UKON|41.58397|-123.47601|1392.8|1.2|ncedc
357|BK.UMUN|37.158363|-121.903434|994.5|1.6|ncedc
358|BK.USAL|39.88214|-123.81619|559.1|1.6|ncedc
359|BK.VAK|37.877525|-122.248894|256.0|10.0|ncedc
360|BK.VALB|38.121498|-122.275299|-180.3|155.8|ncedc
361|BK.W02B|37.791119|-122.386322|-102.6|57.6|ncedc
362|BK.WDC|40.57988|-122.54113|268.3|75.0|ncedc
363|BK.WEAV|40.74575|-122.98404|1063.4|3.3|ncedc
364|BK.WEBR|38.71769|-120.69189|741.2|2.9|ncedc
365|BK.WELL|38.43847|-120.7241|560.6|3.1|ncedc
366|BK.WENL|37.622108|-121.756973|138.9|30.3|ncedc
367|BK.WHCL|36.288958|-119.829105|61.9|3.1|ncedc
368|BK.WHMT|41.5716|-122.02018|1846.4|1.4|ncedc
369|BK.WINE|36.670213|-119.907716|73.5|3.0|ncedc
370|BK.WLKR|40.3629|-124.32226|272.0|3.0|ncedc
371|BK.WROK|35.4453|-120.88023|175.8|1.2|ncedc
372|BK.WSRE|36.33543|-120.11723|88.1|0.0|ncedc
373|BK.YBH|41.73193|-122.710381|1059.6|50.0|ncedc
374|BK.YBIB|37.814201|-122.35923|-88.0|61.0|ncedc
375|BK.YUBA|39.33756|-120.53722|2369.7|1.2|ncedc
376|BP.CCRB|35.957161|-120.551613|344.0|251.0|ncedc
377|BP.EADB|35.895222|-120.422623|224.0|345.0|ncedc
378|BP.FROB|35.91095|-120.486877|231.0|284.0|ncedc
379|BP.GHIB|35.832249|-120.347282|330.0|63.0|ncedc
380|BP.JCNB|35.938969|-120.431122|309.0|224.0|ncedc
381|BP.JCSB|35.921169|-120.433998|299.0|155.0|ncedc
382|BP.LCCB|35.980061|-120.514229|385.0|252.0|ncedc
383|BP.MMNB|35.956501|-120.496002|480.0|221.0|ncedc
384|BP.RMNB|36.00087|-120.477722|1091.0|73.0|ncedc
385|BP.SCYB|36.009418|-120.536613|695.0|252.0|ncedc
386|BP.SMNB|35.972969|-120.57988|416.0|282.0|ncedc
387|BP.VARB|35.926079|-120.447052|177.0|298.0|ncedc
388|BP.VCAB|35.921619|-120.53392|555.0|200.0|ncedc
389|CE.00022|32.739|-114.6357|40.0|0.0|ncedc
390|CE.00726|32.7393|-114.6343|40.0|0.0|ncedc
391|CE.01335|32.7933|-115.5625|-12.0|0.0|ncedc
392|CE.01711|32.7797|-115.5674|-7.0|0.0|ncedc
393|CE.01794|32.7738|-115.4486|-4.0|0.0|ncedc
394|CE.02140|32.8135|-116.9754|119.0|0.0|ncedc
395|CE.02143|32.8399|-116.9741|108.0|0.0|ncedc
396|CE.02467|32.8379|-116.7749|527.0|0.0|ncedc
397|CE.02496|32.6511|-116.3656|1009.0|0.0|ncedc
398|CE.02498|32.6194|-116.1921|860.0|0.0|ncedc
399|CE.02501|32.9921|-116.5858|1430.0|0.0|ncedc
400|CE.02659|32.9424|-116.2768|353.0|0.0|ncedc
401|CE.03121|32.7488|-117.2418|11.0|0.0|ncedc
402|CE.03139|32.7736|-117.0012|179.0|0.0|ncedc
403|CE.03145|32.71|-117.158|11.0|0.0|ncedc
404|CE.03146|32.7296|-117.1693|18.0|0.0|ncedc
405|CE.03147|32.7016|-117.1199|14.0|0.0|ncedc
406|CE.03148|32.7354|-117.08|79.0|0.0|ncedc
407|CE.03150|32.795|-117.255|5.0|0.0|ncedc
408|CE.03151|32.822|-117.175|118.0|0.0|ncedc
409|CE.03152|32.7097|-117.0067|79.0|0.0|ncedc
